127.0.0.1 - - [31/Dec/2025:10:09:09 +0900] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:09:10 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:15:22 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:15:25 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:15:25 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:15:25 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:11 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:11 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:11 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:21 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:21 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:21 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:24 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:24 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:24 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:26 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:26 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:26 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:33 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:33 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:33 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:41 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:41 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:41 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:47 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:47 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:47 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:54 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:54 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:16:54 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:21:15 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:21:15 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:21:15 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:23:07 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1238
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:23:07 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:23:07 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:22 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:22 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:22 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:36 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:36 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:36 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:45 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:45 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:27:45 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:29:24 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:29:24 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:29:24 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:29:37 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:29:37 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:29:37 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:30:31 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:30:31 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:30:31 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:30:58 +0900] "GET /CSS01/01_tagSelector.html HTTP/1.1" 200 1368
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:30:59 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:30:59 +0900] "GET /favicon.ico HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [31/Dec/2025:10:38:23 +0900] "GET /CSS01/02_classSelector.html HTTP/1.1" 200 1578
