127.0.0.1 - - [08/Jan/2026:10:10:56 +0900] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:10:57 +0900] "GET /JavaScript01/17_switch.html HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:11:05 +0900] "GET /JavaScript01/17_switch.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:11:07 +0900] "GET /JavaScript01/image/lizard.png HTTP/1.1" 200 134643
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:11:09 +0900] "GET /JavaScript01/17_switch.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:11:09 +0900] "GET /JavaScript01/image/megalizardon.png HTTP/1.1" 200 145642
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:11:10 +0900] "GET /JavaScript01/17_switch.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:11:10 +0900] "GET /JavaScript01/image/lizardon.png HTTP/1.1" 200 134598
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:15:58 +0900] "GET /JavaScript01/18_typeConversion.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:16:05 +0900] "GET /JavaScript01/18_typeConversion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:16:08 +0900] "GET /JavaScript01/18_typeConversion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:20:27 +0900] "GET /JavaScript01/18_typeConversion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:21:25 +0900] "GET /JavaScript01/18_typeConversion.html HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:21:34 +0900] "GET /JavaScript01/18_typeConversion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:21:43 +0900] "GET /JavaScript01/18_typeConversion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:22:15 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:22:29 +0900] "GET /JavaScript01/18_typeConversion.html HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [08/Jan/2026:10:22:29 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [08/Jan/2026:11:13:06 +0900] "GET /JavaScript01/ex03_forEx1.html HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [08/Jan/2026:11:13:06 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [08/Jan/2026:11:13:44 +0900] "GET /JavaScript01/ex03_forEx1.html HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [08/Jan/2026:11:13:44 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [08/Jan/2026:11:25:26 +0900] "GET /JavaScript01/ex03_forEx1.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [08/Jan/2026:11:25:26 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [08/Jan/2026:13:32:35 +0900] "GET /JavaScript01/24_forIn.html HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [08/Jan/2026:13:32:35 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [08/Jan/2026:13:32:45 +0900] "GET /JavaScript01/24_forIn.html HTTP/1.1" 200 568
